year,week,sales_1,sales_2,cum_week,demand
2014,13,1315,3575,65,"[1315, 3575]"
2014,14,1500,4017,66,"[1500, 4017]"
2014,15,1502,4204,67,"[1502, 4204]"
2014,16,1523,4195,68,"[1523, 4195]"
2014,17,1579,4157,69,"[1579, 4157]"
2014,18,1597,4325,70,"[1597, 4325]"
2014,19,1645,4553,71,"[1645, 4553]"
2014,20,1676,4346,72,"[1676, 4346]"
2014,21,1654,4390,73,"[1654, 4390]"
2014,22,1704,4527,74,"[1704, 4527]"
2014,23,1758,4741,75,"[1758, 4741]"
2014,24,1919,4713,76,"[1919, 4713]"
2014,25,1881,4682,77,"[1881, 4682]"
2014,26,1814,4769,78,"[1814, 4769]"
2014,27,1837,4943,79,"[1837, 4943]"
2014,28,1825,4960,80,"[1825, 4960]"
2014,29,1944,4977,81,"[1944, 4977]"
2014,30,1964,5143,82,"[1964, 5143]"
2014,31,1763,4734,83,"[1763, 4734]"
2014,32,1633,4366,84,"[1633, 4366]"
2014,33,1630,4393,85,"[1630, 4393]"
2014,34,1622,4453,86,"[1622, 4453]"
2014,35,1703,4384,87,"[1703, 4384]"
2014,36,1595,4164,88,"[1595, 4164]"
2014,37,1568,4042,89,"[1568, 4042]"
2014,38,1544,4203,90,"[1544, 4203]"
2014,39,1516,4171,91,"[1516, 4171]"
2014,40,1476,3863,92,"[1476, 3863]"
2014,41,1454,3746,93,"[1454, 3746]"
2014,42,1442,3818,94,"[1442, 3818]"
2014,43,1467,3944,95,"[1467, 3944]"
2014,44,1432,3910,96,"[1432, 3910]"
2014,45,1542,4118,97,"[1542, 4118]"
2014,46,1554,4119,98,"[1554, 4119]"
2014,47,1594,3978,99,"[1594, 3978]"
2014,48,1568,4079,100,"[1568, 4079]"
2014,49,1123,3019,101,"[1123, 3019]"
2014,50,1078,3021,102,"[1078, 3021]"
2014,51,1115,2931,103,"[1115, 2931]"
2014,52,1173,2991,104,"[1173, 2991]"
2015,1,1071,2963,105,"[1071, 2963]"
2015,2,1062,2817,106,"[1062, 2817]"
2015,3,990,2773,107,"[990, 2773]"
2015,4,1072,2828,108,"[1072, 2828]"
2015,5,1057,2862,109,"[1057, 2862]"
2015,6,1127,3094,110,"[1127, 3094]"
2015,7,1185,3113,111,"[1185, 3113]"
2015,8,1201,3065,112,"[1201, 3065]"
2015,9,1155,3175,113,"[1155, 3175]"
2015,10,1375,3749,114,"[1375, 3749]"
2015,11,1430,3630,115,"[1430, 3630]"
2015,12,1368,3734,116,"[1368, 3734]"
2015,13,1382,3736,117,"[1382, 3736]"
2015,14,1576,4153,118,"[1576, 4153]"
2015,15,1681,4225,119,"[1681, 4225]"
2015,16,1651,4310,120,"[1651, 4310]"
2015,17,1636,4321,121,"[1636, 4321]"
2015,18,1707,4446,122,"[1707, 4446]"
2015,19,1756,4657,123,"[1756, 4657]"
2015,20,1716,4636,124,"[1716, 4636]"
2015,21,1704,4732,125,"[1704, 4732]"
2015,22,1717,4686,126,"[1717, 4686]"
2015,23,1945,5007,127,"[1945, 5007]"
2015,24,1877,4903,128,"[1877, 4903]"
2015,25,1865,4881,129,"[1865, 4881]"
2015,26,1851,4857,130,"[1851, 4857]"
2015,27,1966,5230,131,"[1966, 5230]"
2015,28,2000,5124,132,"[2000, 5124]"
2015,29,2055,5135,133,"[2055, 5135]"
2015,30,1929,5148,134,"[1929, 5148]"
2015,31,1871,5046,135,"[1871, 5046]"
2015,32,1780,4703,136,"[1780, 4703]"
2015,33,1787,4618,137,"[1787, 4618]"
2015,34,1772,4749,138,"[1772, 4749]"
2015,35,1709,4692,139,"[1709, 4692]"
2015,36,1689,4384,140,"[1689, 4384]"
2015,37,1600,4348,141,"[1600, 4348]"
2015,38,1671,4319,142,"[1671, 4319]"
2015,39,1629,4387,143,"[1629, 4387]"
2015,40,1521,4158,144,"[1521, 4158]"
2015,41,1455,3948,145,"[1455, 3948]"
2015,42,1453,4013,146,"[1453, 4013]"
2015,43,1526,3991,147,"[1526, 3991]"
2015,44,1567,4092,148,"[1567, 4092]"
2015,45,1639,4318,149,"[1639, 4318]"
2015,46,1638,4354,150,"[1638, 4354]"
2015,47,1712,4347,151,"[1712, 4347]"
2015,48,1690,4337,152,"[1690, 4337]"
2015,49,1127,3257,153,"[1127, 3257]"
2015,50,1129,3105,154,"[1129, 3105]"
2015,51,1119,3098,155,"[1119, 3098]"
2015,52,1134,3093,156,"[1134, 3093]"
2015,53,1188,3122,157,"[1188, 3122]"
2016,1,1115,2975,158,"[1115, 2975]"
2016,2,1116,3117,159,"[1116, 3117]"
2016,3,1071,3076,160,"[1071, 3076]"
2016,4,1121,2932,161,"[1121, 2932]"
2016,5,1274,3419,162,"[1274, 3419]"
2016,6,1256,3334,163,"[1256, 3334]"
2016,7,1275,3394,164,"[1275, 3394]"
2016,8,1229,3369,165,"[1229, 3369]"
2016,9,1485,3995,166,"[1485, 3995]"
2016,10,1472,4008,167,"[1472, 4008]"
2016,11,1479,4145,168,"[1479, 4145]"
2016,12,1517,4033,169,"[1517, 4033]"
2016,13,1650,4265,170,"[1650, 4265]"
2016,14,1779,4632,171,"[1779, 4632]"
2016,15,1816,4634,172,"[1816, 4634]"
2016,16,1760,4648,173,"[1760, 4648]"
2016,17,1811,4781,174,"[1811, 4781]"
2016,18,1874,5077,175,"[1874, 5077]"
2016,19,1917,5129,176,"[1917, 5129]"
2016,20,1853,5108,177,"[1853, 5108]"
2016,21,1858,5021,178,"[1858, 5021]"
2016,22,1928,5309,179,"[1928, 5309]"
2016,23,2023,5305,180,"[2023, 5305]"
2016,24,2041,5301,181,"[2041, 5301]"
2016,25,2140,5276,182,"[2140, 5276]"
2016,26,2185,5460,183,"[2185, 5460]"
2016,27,2298,5641,184,"[2298, 5641]"
2016,28,2112,5617,185,"[2112, 5617]"
2016,29,2104,5678,186,"[2104, 5678]"
2016,30,2194,5534,187,"[2194, 5534]"
2016,31,1879,5049,188,"[1879, 5049]"
2016,32,1854,5048,189,"[1854, 5048]"
2016,33,1769,5052,190,"[1769, 5052]"
2016,34,1949,4982,191,"[1949, 4982]"
2016,35,1822,4832,192,"[1822, 4832]"
2016,36,1666,4641,193,"[1666, 4641]"
2016,37,1720,4641,194,"[1720, 4641]"
2016,38,1760,4834,195,"[1760, 4834]"
2016,39,1706,4593,196,"[1706, 4593]"
2016,40,1669,4366,197,"[1669, 4366]"
2016,41,1690,4413,198,"[1690, 4413]"
2016,42,1617,4368,199,"[1617, 4368]"
2016,43,1572,4419,200,"[1572, 4419]"
2016,44,1754,4651,201,"[1754, 4651]"
2016,45,1735,4700,202,"[1735, 4700]"
2016,46,1672,4691,203,"[1672, 4691]"
2016,47,1681,4644,204,"[1681, 4644]"
2016,48,1503,3902,205,"[1503, 3902]"
2016,49,1285,3362,206,"[1285, 3362]"
2016,50,1233,3380,207,"[1233, 3380]"
2016,51,1283,3406,208,"[1283, 3406]"
2016,52,1272,3248,209,"[1272, 3248]"
2017,1,1171,3029,210,"[1171, 3029]"
2017,2,1231,3112,211,"[1231, 3112]"
2017,3,1215,3077,212,"[1215, 3077]"
2017,4,1134,3017,213,"[1134, 3017]"
2017,5,1281,3349,214,"[1281, 3349]"
2017,6,1349,3549,215,"[1349, 3549]"
2017,7,1314,3551,216,"[1314, 3551]"
2017,8,1315,3509,217,"[1315, 3509]"
2017,9,1496,4070,218,"[1496, 4070]"
2017,10,1496,4155,219,"[1496, 4155]"
2017,11,1569,4129,220,"[1569, 4129]"
2017,12,1478,4078,221,"[1478, 4078]"
2017,13,1609,4308,222,"[1609, 4308]"
2017,14,1809,4912,223,"[1809, 4912]"
2017,15,1868,4905,224,"[1868, 4905]"
2017,16,1854,4844,225,"[1854, 4844]"
2017,17,1812,4903,226,"[1812, 4903]"
2017,18,1980,5194,227,"[1980, 5194]"
2017,19,1899,5219,228,"[1899, 5219]"
2017,20,1967,5392,229,"[1967, 5392]"
2017,21,1971,5159,230,"[1971, 5159]"
2017,22,1997,5545,231,"[1997, 5545]"
2017,23,2112,5679,232,"[2112, 5679]"
2017,24,2097,5680,233,"[2097, 5680]"
2017,25,2078,5419,234,"[2078, 5419]"
2017,26,2119,5694,235,"[2119, 5694]"
2017,27,2227,5866,236,"[2227, 5866]"
2017,28,2261,5897,237,"[2261, 5897]"
2017,29,2239,5868,238,"[2239, 5868]"
2017,30,2247,5920,239,"[2247, 5920]"
2017,31,1947,5272,240,"[1947, 5272]"
2017,32,1961,5181,241,"[1961, 5181]"
2017,33,1926,5101,242,"[1926, 5101]"
2017,34,1948,5223,243,"[1948, 5223]"
2017,35,1887,5032,244,"[1887, 5032]"
2017,36,1839,4868,245,"[1839, 4868]"
2017,37,1859,4824,246,"[1859, 4824]"
2017,38,1822,5111,247,"[1822, 5111]"
2017,39,1759,4893,248,"[1759, 4893]"
2017,40,1779,4501,249,"[1779, 4501]"
2017,41,1767,4445,250,"[1767, 4445]"
2017,42,1709,4470,251,"[1709, 4470]"
2017,43,1656,4428,252,"[1656, 4428]"
2017,44,1760,4737,253,"[1760, 4737]"
2017,45,1748,4911,254,"[1748, 4911]"
2017,46,1826,4826,255,"[1826, 4826]"
2017,47,1836,4811,256,"[1836, 4811]"
2017,48,1549,4248,257,"[1549, 4248]"
2017,49,1288,3494,258,"[1288, 3494]"
2017,50,1300,3536,259,"[1300, 3536]"
2017,51,1284,3397,260,"[1284, 3397]"
2017,52,1303,3608,261,"[1303, 3608]"
